一斉,いっせい<br><br>simultaneous; all at once,N5 N1
百科辞典,ひゃっかじてん<br><br>encyclopedia; encyclopaedia,N3 N5 N1
上旬,じょうじゅん<br><br>first 10 days of month,N5 N1
盛り上がる,もりあがる<br><br>(1) to swell; to rise; to bulge; to be piled up <br>(2) to rouse; to get excited,N5 N1
下旬,げじゅん<br><br>month (last third of),N5 N1
廊下,ろうか<br><br>corridor; hallway; passageway,N5 N1
下痢,げり<br><br>diarrhoea; diarrhea,N5 N1
下駄,げた<br><br>(1) geta; Japanese wooden clogs <br>(2) turn (in set-type proofing); upside-down character,N5 N1
中継,ちゅうけい<br><br>(1) relay; hook-up <br>(2) relay broadcasting,N5 N1
中旬,ちゅうじゅん<br><br>middle of a month; second third of a month,N5 N1
中傷,ちゅうしょう<br><br>slander; libel; defamation,N5 N1
中枢,ちゅうすう<br><br>centre; center; pivot; mainstay; nucleus; backbone; central figure; pillar; key man,N5 N1
大統領,だいとうりょう<br><br>president; chief executive,N5 N1 N2
大衆,たいしゅう<br><br>general public; the masses,N5 N1
大丈夫,だいじょうぶ<br><br>safe; all right; OK; okay,N3 N5 N1
大胆,だいたん<br><br>old; daring; audacious,N5 N1
膨大,ぼうだい<br><br>huge; bulky; enormous; extensive; swelling; expansion,N5 N1
盛大,せいだい<br><br>grand; prosperous; magnificent,N5 N1
大抵,たいてい<br><br>(1) mostly; ordinarily; usually; generally <br>(2) probably <br>(3) most; almost all <br>(4) (before a neg. form) ordinary <br>(5) proper; appropriate; moderate,N5 N1
大筋,おおすじ<br><br>outline; summary,N5 N1
壮大,そうだい<br><br>magnificent; grand; majestic; splendid,N5 N1
大概,たいがい<br><br>(1) in general; almost all <br>(2) mainly; mostly; most likely <br>(3) moderately; suitably,N5 N1
大柄,おおがら<br><br>(1) large build <br>(2) large pattern,N5 N1
縮小,しゅくしょう<br><br>eduction; curtailment,N5 N1
小遣い,こづかい<br><br>pocket money; spending money; pin money; allowance,N5 N1
小柄,こがら<br><br>(1) small build; small stature; petite <br>(2) small pattern,N5 N1
小銭,こぜに<br><br>coins; small change,N5 N1
