一層,"いっそう<br><br>(1) much more; still more; all the more; more than ever <br>(2) single layer (or storey, etc.) <br>(3) rather; sooner; preferably",N5 N2
一帯,いったい<br><br>egion; zone; whole place,N5 N2
二階建て,にかいだて<br><br>two-storied building,N5 N2 N4
再三,さいさん<br><br>again and again; repeatedly,N5 N2
三角,さんかく<br><br>triangle; triangular,N5 N2
三味線,しゃみせん<br><br>three-stringed Japanese guitar; shamisen,N5 N2 N4
四季,しき<br><br>four seasons,N5 N2
四角い,しかくい<br><br>square; rectangular,N5 N2
四角,しかく<br><br>square,N5 N2
四捨五入,ししゃごにゅう<br><br>ounding half up (i.e. fractions),N5 N2
四つ角,よつかど<br><br>four corners; crossroads,N5 N2
上昇,じょうしょう<br><br>ising; ascending; climbing,N5 N2
上司,じょうし<br><br>superior authorities; boss,N5 N2
上陸,じょうりく<br><br>landing; disembarkation,N5 N2
上級,じょうきゅう<br><br>advanced level; high grade; senior,N5 N2
身の上,みのうえ<br><br>one's future; one's welfare; one's personal history,N5 N2
召し上がる,めしあがる<br><br>to eat,N5 N2
地下鉄,ちかてつ<br><br>underground train; subway,N2 N5 N4
城下,じょうか<br><br>land near the castle,N5 N2
下線,かせん<br><br>underline; underscore,N5 N2
中央,ちゅうおう<br><br>centre; central; center; middle,N5 N2
中身,なかみ<br><br>contents; interior; substance; filling; (sword) blade,N5 N2
中毒,ちゅうどく<br><br>(1) poisoning <br>(2) addiction,N5 N2
拡大,かくだい<br><br>magnification; enlargement; expansion,N5 N2
大統領,だいとうりょう<br><br>president; chief executive,N5 N1 N2
大幅,おおはば<br><br>(1) big; large; drastic; substantial <br>(2) full-width cloth (approx. 72 cm wide for traditional Japanese clothing; approx. 140 cm wide for Western clothing),N5 N2
大臣,だいじん<br><br>cabinet minister,N5 N2
巨大,きょだい<br><br>huge; gigantic; enormous,N5 N2
大勢,おおぜい<br><br>many; crowd; great number of people,N5 N2
大陸,たいりく<br><br>continent,N5 N2
総理大臣,そうりだいじん<br><br>Prime Minister,N2 N5 N4
大層,たいそう<br><br>very much; exaggerated; very fine,N5 N2
小包み,こづつみ<br><br>parcel; package,N5 N2
小麦,こむぎ<br><br>wheat,N5 N2
小児科,しょうにか<br><br>pediatrics,N3 N5 N2
月並,つきなみ<br><br>(1) every month <br>(2) trite; common,N5 N2
再来月,さらいげつ<br><br>month after next,N5 N2
日の丸,ひのまる<br><br>(1) outline of the sun (esp. represented as a red circle) <br>(2) the Japanese flag,N5 N2
祝日,しゅくじつ<br><br>national holiday,N5 N2
日課,にっか<br><br>daily lesson; daily work; daily routine,N5 N2
日焼け,ひやけ<br><br>(1) sunburn <br>(2) suntan,N5 N2
祭日,さいじつ<br><br>national holiday; festival day,N5 N2
年齢,ねんれい<br><br>age; years,N5 N2
万年筆,まんねんひつ<br><br>fountain pen,N5 N2
再来年,さらいねん<br><br>year after next,N5 N2
