日当,にっとう<br><br>daily allowance,N3 N5
一昨昨日,いっさくさくじつ<br><br>two days before yesterday; three days back (ago),N3 N5
年寄り,としより<br><br>(1) old people; the aged <br>(2) sumo coaches,N3 N5
定年,ていねん<br><br>(1) retirement age <br>(2) years of service in a military rank before eligibility for promotion,N3 N5
晩年,ばんねん<br><br>(one's) last years,N3 N5
成年,せいねん<br><br>adult age; majority,N3 N5
年号,ねんごう<br><br>name of an era; year number,N3 N5
早速,さっそく<br><br>at once; immediately; without delay; promptly,N3 N4
最早,もはや<br><br>(1) already; now <br>(2) no longer; not any more,N3 N4
雑木,ざつぼく<br><br>various kinds of small trees; assorted trees,N3 N5
登山,とざん<br><br>mountain climbing,N3 N5
山腹,さんぷく<br><br>hillside; mountainside,N3 N5
空港,くうこう<br><br>airport,N3 N5
空想,くうそう<br><br>daydream; fantasy; fancy; vision,N3 N5
空腹,くうふく<br><br>hunger,N3 N5
田園,でんえん<br><br>(1) country; rural districts <br>(2) cultivated land; fields,N3 N4
天然,てんねん<br><br>(1) nature; spontaneity <br>(2) natural airhead,N3 N5
天候,てんこう<br><br>weather,N3 N5
天才,てんさい<br><br>genius; prodigy; natural gift,N3 N5
晴天,せいてん<br><br>fine weather (i.e. little or no clouds); fair weather; clear weather; clear sky; fair skies,N3 N5
天気予報,てんきよほう<br><br>weather forecast; weather report,N3 N5
生活,せいかつ<br><br>living; life (one's daily existence); livelihood,N3 N5
生徒,せいと<br><br>pupil,N3 N5
生命,せいめい<br><br>life; existence,N3 N5
留学生,りゅうがくせい<br><br>overseas student; exchange student,N3 N5
一生懸命,いっしょうけんめい<br><br>very hard; with utmost effort; with all one's might; for dear life,N3 N5 N1
生存,せいぞん<br><br>(1) existence; being; survival <br>(2) to exist; to live; to survive,N3 N5
生育,せいいく<br><br>growth; development; breeding,N3 N5
生真面目,きまじめ<br><br>too serious; person who is too serious; honesty; sincerity,N3 N5 N4
草,くさ<br><br>(1) grass; weed; herb; thatch <br>(2) ninja <br>(3) not genuine; substandard,N3
煙草,タバコ<br><br>tobacco; cigarettes,N3
草履,ぞうり<br><br>zori (Japanese footwear sandals),N3 N1
草臥れる,くたびれる<br><br>to get tired; to wear out,N0 N3
虫歯,むしば<br><br>cavity; tooth decay; decayed tooth; caries,N3 N2
夫人,"ふじん<br><br>(1) wife; Mrs; madam <br>(2) wife of a nobleman (aristocrat, etc.) <br>(3) consort of the emperor",N3 N5
老人,ろうじん<br><br>the aged; old person,N3 N5
殺人,さつじん<br><br>murder,N3 N5
人類,じんるい<br><br>mankind; humanity,N3 N5
婦人,ふじん<br><br>woman; lady; adult female,N3 N5
人形,にんぎょう<br><br>doll; puppet; figure,N3 N5
人種,じんしゅ<br><br>ace (of people),N3 N5
犯人,はんにん<br><br>offender; criminal,N3 N5
他人,たにん<br><br>(1) another person; other people; others <br>(2) unrelated person (i.e. not related by blood) <br>(3) outsider; stranger,N3 N5
成人,せいじん<br><br>(1) adult <br>(2) to grow up; to mature <br>(3) to come of age,N3 N5
役人,やくにん<br><br>government official,N3 N5
職人,しょくにん<br><br>worker; mechanic; artisan; craftsman,N3 N5
人格,じんかく<br><br>personality; character; individuality,N3 N5
美人,びじん<br><br>eautiful person (woman),N3 N5
産婦人科,さんふじんか<br><br>maternity and gynaecology department (gynecology); department of obstetrics and gynaecology (gynecology),N3 N5 N4
人情,にんじょう<br><br>(1) humanity; empathy; kindness; sympathy <br>(2) human nature; common sense; customs and manners,N3 N5
商人,しょうにん<br><br>trader; shopkeeper; merchant,N3 N5
当人,とうにん<br><br>the one concerned; the said person,N3 N5
人命,じんめい<br><br>(human) life,N3 N5
人文科学,じんぶんかがく<br><br>social sciences; humanities,N3 N5 N4
人差し指,ひとさしゆび<br><br>index finger,N3 N5
名残,なごり<br><br>(1) remains; traces; vestiges; relics <br>(2) (the sorrow of) parting <br>(3) end,N3 N5
名付ける,なづける<br><br>to name (someone),N3 N5
平仮名,"ひらがな<br><br>hiragana; cursive Japanese syllabary used primarily for native Japanese words (esp. function words, inflections, etc.)",N3 N5 N2
記名,きめい<br><br>(1) signature; register <br>(2) to put one's name on; to sign <br>(3) stamped name; typed name,N3 N5
御名,みな<br><br>name of God (esp. in Christian contexts); name of Christ,N3 N5
女性,じょせい<br><br>(1) woman; female <br>(2) feminine gender,N3 N5
彼女,かのじょ<br><br>(1) she; her <br>(2) her <br>(3) girl friend; girlfriend; sweetheart,N3 N5
女優,じょゆう<br><br>actress,N3 N5
女王,じょおう<br><br>queen,N3 N5
王女,おうじょ<br><br>princess,N3 N5
男性,だんせい<br><br>(1) man; male <br>(2) masculine gender,N3 N5
子供,こども<br><br>child; children,N3 N5
様子,ようす<br><br>(1) state; state of affairs; situation; circumstances <br>(2) appearance; look; aspect <br>(3) sign; indication,N3 N5
息子,むすこ<br><br>(1) son <br>(2) penis,N3 N5
調子,ちょうし<br><br>(1) tune; tone; key; pitch; time; rhythm <br>(2) vein; mood; way; manner; style; knack <br>(3) condition; state of health <br>(4) impetus; spur of the moment; strain <br>(5) trend,N3 N5
王子,おうじ<br><br>prince,N3 N5
利子,りし<br><br>interest (bank),N3 N5
原子,げんし<br><br>atom,N3 N5
末っ子,すえっこ<br><br>youngest child,N3 N5
子息,しそく<br><br>son,N3 N5
迷子,まいご<br><br>lost child; stray child; missing child,N3 N5
判子,はんこ<br><br>seal (used for signature),N3 N5
面目,めんもく<br><br>(1) face; honour; honor; reputation; prestige; dignity; credit <br>(2) appearance; look,N3 N5
利き目,ききめ<br><br>effect; virtue; efficacy; impression,N3 N5
役目,やくめ<br><br>duty; business; role,N3 N5
目次,もくじ<br><br>table of contents,N3 N5
目覚める,めざめる<br><br>to wake up,N3 N5
真面目,まじめ<br><br>diligent; serious; honest; sober; grave; earnest; steady,N3 N5 N4
目覚まし,めざまし<br><br>(1) alarm clock <br>(2) opening one's eyes; keeping one's eyes open <br>(3) type of candy given to a child after it wakes up from a nap,N3 N5
目覚ましい,めざましい<br><br>illiant; splendid; striking; remarkable,N3 N5
目指す,めざす<br><br>to aim at; to have an eye on,N3 N5
目付き,めつき<br><br>look; expression of the eyes; eyes,N3 N5
番目,ばんめ<br><br>cardinal number suffix,N3 N5
目茶苦茶,めちゃくちゃ<br><br>(1) absurd; unreasonable; nonsensical; preposterous; incoherent <br>(2) extreme; senseless; reckless; wanton <br>(3) disorder; confusion; mess; wreck,N3 N5 N4
目処,めど<br><br>(1) aim; goal <br>(2) prospect; outlook,N3 N5
お目出度うご座います,おめでとうございます<br><br>congratulations,N3 N5 N4
目論見,もくろみ<br><br>plan; scheme; project; program; programme; intention; goal,N3 N5
耳鼻科,"じびか<br><br>otolaryngology; concerning the ear, nose, and throat",N3 N5 N2
初耳,はつみみ<br><br>something heard for the first time (lit: first ear),N3 N5
窓口,まどぐち<br><br>(1) ticket window; teller window; counter <br>(2) contact person; point of contact,N3 N5
口実,こうじつ<br><br>excuse; pretext,N3 N5
